start_hex,abs_hex,end_hex,length,class,confidence,BDL_bytes,EDL_bytes,BDL_interp,EDL_interp
0x0019e,0x101d019e,0x001a0,2,u16_table,low,63 0e,94 0f,u16=[3683],u16=[3988]
0x00924,0x101d0924,0x0092b,7,float_axis,medium,21 b0 62 3f a4 70 7d,33 33 63 3f 29 5c 7f,,
0x00930,0x101d0930,0x00a68,312,u16_table,low,23 0b e4 09 6c 09 ff 08 9f 08 4c 08 04 08 86 07 2c 07 ca 06 92 06 66 06 ... (312 B),38 10 ff 0e 89 0e 1e 0e c0 0d 6f 0d 28 0d ac 0c 54 0c f4 0b bd 0b 91 0b ... (312 B),,
0x00ba2,0x101d0ba2,0x00e45,675,u16_table,low,35 00 56 00 6c 00 82 00 97 00 ad 00 c2 00 d8 00 ee 00 03 01 19 01 37 01 ... (675 B),47 00 5d 00 73 00 89 00 9f 00 b5 00 ca 00 e1 00 f6 00 0c 01 25 01 3e 01 ... (675 B),,
0x00e4a,0x101d0e4a,0x00f5e,276,u16_table,low,12 00 33 00 44 00 5e 00 85 00 b6 00 f2 00 39 01 8b 01 e7 01 50 02 e3 02 ... (276 B),35 00 46 00 62 00 8b 00 c1 00 04 01 52 01 ac 01 12 02 85 02 17 03 b2 03 ... (276 B),,
0x010a2,0x101d10a2,0x01155,179,u16_table,low,03 00 08 00 0d 00 14 00 26 00 3d 00 5a 00 7b 00 a1 00 cd 00 33 01 ae 01 ... (179 B),04 00 0a 00 13 00 1f 00 3d 00 66 00 9a 00 d7 00 1f 01 71 01 33 02 1f 03 ... (179 B),,
0x01242,0x101d1242,0x01319,215,u16_table,low,75 00 75 00 72 00 69 00 56 00 44 00 38 00 33 00 32 00 32 00 32 00 32 00 ... (215 B),8c 00 8c 00 88 00 80 00 6e 00 5c 00 52 00 4d 00 4c 00 4c 00 4c 00 4c 00 ... (215 B),,
0x01402,0x101d1402,0x01416,20,reserved_zero,high,8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,"u16=[655, 655, 655, 655, 655, 655, 655, 655, 655, 655]","u16=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0x0144c,0x101d144c,0x0145e,18,float_table,low,00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40,9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49,"u16=[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]","u16=[18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842]"
0x01520,0x101d1520,0x0153c,28,u16_table,low,20 00 40 00 60 00 80 00 c0 00 00 01 40 01 00 02 00 03 c0 03 40 05 80 07 ... (28 B),10 00 20 00 30 00 40 00 60 00 80 00 a0 00 00 01 80 01 e0 01 a0 02 c0 03 ... (28 B),"u16=[32, 64, 96, 128, 192, 256, 320, 512, 768, 960, 1344, 1920, 2304, 2880]","u16=[16, 32, 48, 64, 96, 128, 160, 256, 384, 480, 672, 960, 1152, 1440]"
0x01600,0x101d1600,0x01655,85,u16_table,low,60 00 86 00 98 00 a8 00 b2 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 ... (85 B),47 00 6d 00 79 00 7c 00 7c 00 7a 00 72 00 55 00 37 00 24 00 14 00 00 00 ... (85 B),,
0x01660,0x101d1660,0x01675,21,u16_table,low,0e 00 19 00 20 00 28 00 2b 00 2c 00 2a 00 21 00 17 00 0e 00 09,0a 00 13 00 17 00 1d 00 1f 00 20 00 1f 00 17 00 10 00 0a 00 06,,
0x01862,0x101d1862,0x01864,2,u16_axis,medium,00 05,80 03,u16=[1280],u16=[896]
0x01870,0x101d1870,0x0187f,15,u16_axis,medium,80 7b 00 7c 80 7c 00 7d 21 b0 62 3f a4 70 7d,00 50 00 5a 00 64 00 6e 33 33 63 3f 29 5c 7f,,
0x01884,0x101d1884,0x019bc,312,u16_table,low,23 0b e4 09 6c 09 ff 08 9f 08 4c 08 04 08 86 07 2c 07 ca 06 92 06 66 06 ... (312 B),38 10 ff 0e 89 0e 1e 0e c0 0d 6f 0d 28 0d ac 0c 54 0c f4 0b bd 0b 91 0b ... (312 B),,
0x01af6,0x101d1af6,0x01eb2,956,u16_table,low,35 00 54 00 69 00 7e 00 94 00 a9 00 be 00 d4 00 e9 00 fe 00 14 01 31 01 ... (956 B),47 00 5d 00 73 00 89 00 9f 00 b5 00 ca 00 e1 00 f6 00 0c 01 25 01 3e 01 ... (956 B),,
0x01ff6,0x101d1ff6,0x0212c,310,u16_table,low,03 00 08 00 0d 00 14 00 26 00 3d 00 5a 00 7b 00 a1 00 cd 00 33 01 ae 01 ... (310 B),04 00 0a 00 13 00 1f 00 3d 00 66 00 9a 00 d7 00 1f 01 71 01 33 02 1f 03 ... (310 B),,
0x02196,0x101d2196,0x0226d,215,u16_table,low,72 00 72 00 6f 00 67 00 54 00 42 00 37 00 32 00 31 00 31 00 31 00 31 00 ... (215 B),8c 00 8c 00 88 00 80 00 6e 00 5c 00 52 00 4d 00 4c 00 4c 00 4c 00 4c 00 ... (215 B),,
0x02356,0x101d2356,0x0236a,20,reserved_zero,high,8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,"u16=[655, 655, 655, 655, 655, 655, 655, 655, 655, 655]","u16=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0x023a0,0x101d23a0,0x023b2,18,float_table,low,00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40,9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49,"u16=[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]","u16=[18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842]"
0x02474,0x101d2474,0x02490,28,u16_table,low,20 00 40 00 60 00 80 00 c0 00 00 01 40 01 00 02 00 03 c0 03 40 05 80 07 ... (28 B),10 00 20 00 30 00 40 00 60 00 80 00 a0 00 00 01 80 01 e0 01 a0 02 c0 03 ... (28 B),"u16=[32, 64, 96, 128, 192, 256, 320, 512, 768, 960, 1344, 1920, 2304, 2880]","u16=[16, 32, 48, 64, 96, 128, 160, 256, 384, 480, 672, 960, 1152, 1440]"
0x02554,0x101d2554,0x025a9,85,u16_table,low,60 00 86 00 98 00 a8 00 b2 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 ... (85 B),47 00 6d 00 79 00 7c 00 7c 00 7a 00 72 00 55 00 37 00 24 00 14 00 00 00 ... (85 B),,
0x025b4,0x101d25b4,0x025c9,21,u16_table,low,0e 00 19 00 20 00 28 00 2b 00 2c 00 2a 00 21 00 17 00 0e 00 09,0a 00 13 00 17 00 1d 00 1f 00 20 00 1f 00 17 00 10 00 0a 00 06,,
0x027b6,0x101d27b6,0x027b8,2,u16_axis,medium,00 05,80 03,u16=[1280],u16=[896]
0x027c4,0x101d27c4,0x027d3,15,u16_axis,medium,80 7b 00 7c 80 7c 00 7d 21 b0 62 3f a4 70 7d,00 50 00 5a 00 64 00 6e 33 33 63 3f 29 5c 7f,,
0x027d8,0x101d27d8,0x02910,312,u16_table,low,23 0b e4 09 6c 09 ff 08 9f 08 4c 08 04 08 86 07 2c 07 ca 06 92 06 66 06 ... (312 B),38 10 ff 0e 89 0e 1e 0e c0 0d 6f 0d 28 0d ac 0c 54 0c f4 0b bd 0b 91 0b ... (312 B),,
0x02a4a,0x101d2a4a,0x02ced,675,u16_table,low,35 00 56 00 6c 00 82 00 97 00 ad 00 c2 00 d8 00 ee 00 03 01 19 01 37 01 ... (675 B),47 00 5d 00 73 00 89 00 9f 00 b5 00 ca 00 e1 00 f6 00 0c 01 25 01 3e 01 ... (675 B),,
0x02cf2,0x101d2cf2,0x02e06,276,u16_table,low,12 00 33 00 44 00 5e 00 85 00 b6 00 f2 00 39 01 8b 01 e7 01 50 02 e3 02 ... (276 B),2f 00 3f 00 5a 00 81 00 b2 00 f2 00 3b 01 93 01 f6 01 62 02 ee 02 85 03 ... (276 B),,
0x02f4a,0x101d2f4a,0x0307f,309,u16_table,low,03 00 08 00 0d 00 14 00 26 00 3d 00 5a 00 7b 00 a1 00 cd 00 33 01 ae 01 ... (309 B),04 00 0a 00 13 00 1f 00 3d 00 66 00 9a 00 d7 00 1f 01 71 01 33 02 1f 03 ... (309 B),,
0x030ea,0x101d30ea,0x031c1,215,u16_table,low,72 00 72 00 6f 00 67 00 54 00 42 00 37 00 32 00 31 00 31 00 31 00 31 00 ... (215 B),8c 00 8c 00 88 00 80 00 6e 00 5c 00 52 00 4d 00 4c 00 4c 00 4c 00 4c 00 ... (215 B),,
0x032aa,0x101d32aa,0x032be,20,reserved_zero,high,8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,"u16=[655, 655, 655, 655, 655, 655, 655, 655, 655, 655]","u16=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0x032f4,0x101d32f4,0x03306,18,float_table,low,00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40,9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49,"u16=[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]","u16=[18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842]"
0x033c8,0x101d33c8,0x033e4,28,u16_table,low,20 00 40 00 60 00 80 00 c0 00 00 01 40 01 00 02 00 03 c0 03 40 05 80 07 ... (28 B),10 00 20 00 30 00 40 00 60 00 80 00 a0 00 00 01 80 01 e0 01 a0 02 c0 03 ... (28 B),"u16=[32, 64, 96, 128, 192, 256, 320, 512, 768, 960, 1344, 1920, 2304, 2880]","u16=[16, 32, 48, 64, 96, 128, 160, 256, 384, 480, 672, 960, 1152, 1440]"
0x034a8,0x101d34a8,0x034fd,85,u16_table,low,60 00 86 00 98 00 a8 00 b2 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 ... (85 B),47 00 6d 00 79 00 7c 00 7c 00 7a 00 72 00 55 00 37 00 24 00 14 00 00 00 ... (85 B),,
0x03508,0x101d3508,0x0351d,21,u16_table,low,0e 00 19 00 20 00 28 00 2b 00 2c 00 2a 00 21 00 17 00 0e 00 09,0a 00 13 00 17 00 1d 00 1f 00 20 00 1f 00 17 00 10 00 0a 00 06,,
0x0370a,0x101d370a,0x0370c,2,u16_axis,medium,00 05,80 03,u16=[1280],u16=[896]
0x03718,0x101d3718,0x03727,15,u16_axis,medium,80 7b 00 7c 80 7c 00 7d 21 b0 62 3f a4 70 7d,00 50 00 5a 00 64 00 6e 33 33 63 3f 29 5c 7f,,
0x0372c,0x101d372c,0x03864,312,u16_table,low,23 0b e4 09 6c 09 ff 08 9f 08 4c 08 04 08 86 07 2c 07 ca 06 92 06 66 06 ... (312 B),38 10 ff 0e 89 0e 1e 0e c0 0d 6f 0d 28 0d ac 0c 54 0c f4 0b bd 0b 91 0b ... (312 B),,
0x0399e,0x101d399e,0x03c41,675,u16_table,low,35 00 56 00 6c 00 82 00 97 00 ad 00 c2 00 d8 00 ee 00 03 01 19 01 37 01 ... (675 B),47 00 5d 00 73 00 89 00 9f 00 b5 00 ca 00 e1 00 f6 00 0c 01 25 01 3e 01 ... (675 B),,
0x03c46,0x101d3c46,0x03d5a,276,u16_table,low,12 00 33 00 44 00 5e 00 85 00 b6 00 f2 00 39 01 8b 01 e7 01 50 02 e3 02 ... (276 B),35 00 46 00 62 00 8b 00 c1 00 04 01 52 01 ac 01 12 02 85 02 17 03 b2 03 ... (276 B),,
0x03e9e,0x101d3e9e,0x03f51,179,u16_table,low,03 00 08 00 0d 00 14 00 26 00 3d 00 5a 00 7b 00 a1 00 cd 00 33 01 ae 01 ... (179 B),04 00 0a 00 13 00 1f 00 3d 00 66 00 9a 00 d7 00 1f 01 71 01 33 02 1f 03 ... (179 B),,
0x0403e,0x101d403e,0x04115,215,u16_table,low,75 00 75 00 72 00 69 00 56 00 44 00 38 00 33 00 32 00 32 00 32 00 32 00 ... (215 B),8c 00 8c 00 88 00 80 00 6e 00 5c 00 52 00 4d 00 4c 00 4c 00 4c 00 4c 00 ... (215 B),,
0x041fe,0x101d41fe,0x04212,20,reserved_zero,high,8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,"u16=[655, 655, 655, 655, 655, 655, 655, 655, 655, 655]","u16=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0x04248,0x101d4248,0x0425a,18,float_table,low,00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40,9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49,"u16=[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]","u16=[18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842]"
0x0431c,0x101d431c,0x04338,28,u16_table,low,20 00 40 00 60 00 80 00 c0 00 00 01 40 01 00 02 00 03 c0 03 40 05 80 07 ... (28 B),10 00 20 00 30 00 40 00 60 00 80 00 a0 00 00 01 80 01 e0 01 a0 02 c0 03 ... (28 B),"u16=[32, 64, 96, 128, 192, 256, 320, 512, 768, 960, 1344, 1920, 2304, 2880]","u16=[16, 32, 48, 64, 96, 128, 160, 256, 384, 480, 672, 960, 1152, 1440]"
0x043fc,0x101d43fc,0x04451,85,u16_table,low,60 00 86 00 98 00 a8 00 b2 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 ... (85 B),47 00 6d 00 79 00 7c 00 7c 00 7a 00 72 00 55 00 37 00 24 00 14 00 00 00 ... (85 B),,
0x0445c,0x101d445c,0x04471,21,u16_table,low,0e 00 19 00 20 00 28 00 2b 00 2c 00 2a 00 21 00 17 00 0e 00 09,0a 00 13 00 17 00 1d 00 1f 00 20 00 1f 00 17 00 10 00 0a 00 06,,
0x0465e,0x101d465e,0x04660,2,u16_axis,medium,00 05,80 03,u16=[1280],u16=[896]
0x0466c,0x101d466c,0x0467b,15,u16_axis,medium,80 7b 00 7c 80 7c 00 7d 21 b0 62 3f a4 70 7d,00 50 00 5a 00 64 00 6e 33 33 63 3f 29 5c 7f,,
0x04680,0x101d4680,0x047b8,312,u16_table,low,23 0b e4 09 6c 09 ff 08 9f 08 4c 08 04 08 86 07 2c 07 ca 06 92 06 66 06 ... (312 B),38 10 ff 0e 89 0e 1e 0e c0 0d 6f 0d 28 0d ac 0c 54 0c f4 0b bd 0b 91 0b ... (312 B),,
0x048f2,0x101d48f2,0x04b95,675,u16_table,low,35 00 56 00 6c 00 82 00 97 00 ad 00 c2 00 d8 00 ee 00 03 01 19 01 37 01 ... (675 B),47 00 5d 00 73 00 89 00 9f 00 b5 00 ca 00 e1 00 f6 00 0c 01 25 01 3e 01 ... (675 B),,
0x04b9a,0x101d4b9a,0x04cae,276,u16_table,low,12 00 33 00 44 00 5e 00 85 00 b6 00 f2 00 39 01 8b 01 e7 01 50 02 e3 02 ... (276 B),35 00 46 00 62 00 8b 00 c1 00 04 01 52 01 ac 01 12 02 85 02 17 03 b2 03 ... (276 B),,
0x04df2,0x101d4df2,0x04ea5,179,u16_table,low,03 00 08 00 0d 00 14 00 26 00 3d 00 5a 00 7b 00 a1 00 cd 00 33 01 ae 01 ... (179 B),04 00 0a 00 13 00 1f 00 3d 00 66 00 9a 00 d7 00 1f 01 71 01 33 02 1f 03 ... (179 B),,
0x04f92,0x101d4f92,0x05069,215,u16_table,low,75 00 75 00 72 00 69 00 56 00 44 00 38 00 33 00 32 00 32 00 32 00 32 00 ... (215 B),8c 00 8c 00 88 00 80 00 6e 00 5c 00 52 00 4d 00 4c 00 4c 00 4c 00 4c 00 ... (215 B),,
0x05152,0x101d5152,0x05166,20,reserved_zero,high,8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,"u16=[655, 655, 655, 655, 655, 655, 655, 655, 655, 655]","u16=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0x0519c,0x101d519c,0x051ae,18,float_table,low,00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40,9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49,"u16=[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]","u16=[18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842]"
0x05270,0x101d5270,0x0528c,28,u16_table,low,20 00 40 00 60 00 80 00 c0 00 00 01 40 01 00 02 00 03 c0 03 40 05 80 07 ... (28 B),10 00 20 00 30 00 40 00 60 00 80 00 a0 00 00 01 80 01 e0 01 a0 02 c0 03 ... (28 B),"u16=[32, 64, 96, 128, 192, 256, 320, 512, 768, 960, 1344, 1920, 2304, 2880]","u16=[16, 32, 48, 64, 96, 128, 160, 256, 384, 480, 672, 960, 1152, 1440]"
0x05350,0x101d5350,0x053a5,85,u16_table,low,60 00 86 00 98 00 a8 00 b2 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 ... (85 B),47 00 6d 00 79 00 7c 00 7c 00 7a 00 72 00 55 00 37 00 24 00 14 00 00 00 ... (85 B),,
0x053b0,0x101d53b0,0x053c5,21,u16_table,low,0e 00 19 00 20 00 28 00 2b 00 2c 00 2a 00 21 00 17 00 0e 00 09,0a 00 13 00 17 00 1d 00 1f 00 20 00 1f 00 17 00 10 00 0a 00 06,,
0x055b2,0x101d55b2,0x055b4,2,u16_table,low,00 05,80 03,u16=[1280],u16=[896]
0x055c0,0x101d55c0,0x055c8,8,unknown,low,80 7b 00 7c 80 7c 00 7d,00 50 00 5a 00 64 00 6e,"u16=[31616, 31744, 31872, 32000]","u16=[20480, 23040, 25600, 28160]"
0x07285,0x101d7285,0x07286,1,unknown,low,8c,6c,,
0x072b4,0x101d72b4,0x072bb,7,float_scalar,low,17 1d 25 32 3f 4c 5a,26 31 3a 46 53 5d 66,,
0x072c0,0x101d72c0,0x072c7,7,float_scalar,low,17 1d 25 32 3f 4c 5a,26 31 3a 46 53 5d 66,,
0x072cc,0x101d72cc,0x072d3,7,float_scalar,low,17 1d 25 32 3f 4c 5a,26 31 3a 46 53 5d 66,,
0x072d8,0x101d72d8,0x072df,7,float_scalar,low,17 1d 25 32 3f 4c 5a,26 31 3a 46 53 5d 66,,
0x072e4,0x101d72e4,0x072ea,6,unknown,low,1d 25 32 3f 4c 5a,31 3a 46 53 5d 66,"u16=[9501, 16178, 23116]","u16=[14897, 21318, 26205]"
0x072f0,0x101d72f0,0x072f6,6,unknown,low,1d 25 32 3f 4c 5a,31 3a 46 53 5d 66,"u16=[9501, 16178, 23116]","u16=[14897, 21318, 26205]"
0x072fc,0x101d72fc,0x07302,6,unknown,low,1d 25 32 3f 4c 5a,31 3a 46 53 5d 66,"u16=[9501, 16178, 23116]","u16=[14897, 21318, 26205]"
0x07308,0x101d7308,0x0730e,6,unknown,low,1d 25 32 3f 4c 5a,31 3a 46 53 5d 66,"u16=[9501, 16178, 23116]","u16=[14897, 21318, 26205]"
0x07314,0x101d7314,0x0731a,6,unknown,low,1d 25 32 3f 4c 5a,31 3a 46 53 5d 66,"u16=[9501, 16178, 23116]","u16=[14897, 21318, 26205]"
0x07320,0x101d7320,0x07326,6,unknown,low,1d 25 32 3f 4c 5a,31 3a 46 53 5d 66,"u16=[9501, 16178, 23116]","u16=[14897, 21318, 26205]"
0x0734c,0x101d734c,0x07354,8,unknown,low,cd 4c 66 66 00 80 00 80,66 a6 9a 99 9a 99 33 b3,"u16=[19661, 26214, 32768, 32768]","u16=[42598, 39322, 39322, 45875]"
0x07361,0x101d7361,0x07362,1,unknown,low,80,a0,,
0x0736c,0x101d736c,0x07374,8,unknown,low,00 c0 00 c0 00 a0 33 b3,9a 99 66 a6 00 a0 00 a0,"f=[-2.012, -4.182e-08]","u16=[39322, 42598, 40960, 40960]"
0x073b7,0x101d73b7,0x073b8,1,unknown,low,40,30,,
0x073c4,0x101d73c4,0x073c6,2,float_scalar,low,b0 36,30 2a,u16=[14000],u16=[10800]
0x07421,0x101d7421,0x07422,1,unknown,low,80,c0,,
0x075c5,0x101d75c5,0x075c8,3,float_table,low,b0 bc 45,08 00 46,,
0x075d0,0x101d75d0,0x075d3,3,float_table,low,a6 e9 0a,00 40 2b,,
0x07600,0x101d7600,0x07607,7,float_table,low,d0 b3 19 3f 1c 7c e1,94 f6 16 3f 61 c3 d3,,
0x076d4,0x101d76d4,0x076eb,23,float_table,low,1b 2f a8 41 f8 c2 dc 41 68 b3 d7 41 c9 76 dc 41 ca d4 cb 41 d0 d5 bb,34 80 88 41 36 cd c8 41 98 6e ca 41 0e 3e ba 41 a0 89 bf 41 23 4a 94,,
0x2fbe0,0x101ffbe0,0x2fbe4,4,unknown,low,dc 68 c0 5c,17 22 61 e1,"u16=[26844, 23744]","u16=[8727, 57697]"
0x2fbf0,0x101ffbf0,0x2fbf2,2,unknown,low,88 6f,f3 7a,u16=[28552],u16=[31475]
0x2fbfa,0x101ffbfa,0x2fc00,6,unknown,low,28 ba 0f 39 2c 93,27 b4 cc 3b 1e 3a,"u16=[47656, 14607, 37676]","u16=[46119, 15308, 14878]"
